industry_code,StateName,Date,industry_name,area_fips,own_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,StateInitial,FIPS,lfo,estab_f,rcptot_n_f,rcptot_f,rcptot,category,Total_Number_of_Farms,Total_Number_of_Workers,Total_Number_of_Operators,N_BREAK
 ,Connecticut,1/1/2009,Number of Farms,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production,4916, , ,1
 ,Connecticut,1/1/2009,Total Number of Operators,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, , ,7913,1
 ,Connecticut,1/1/2009,Total Number of Workers,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, ,13061, ,1
 ,Connecticut,1/1/2010,Number of Farms,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production,4916, , ,1
 ,Connecticut,1/1/2010,Total Number of Operators,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, , ,7913,1
 ,Connecticut,1/1/2010,Total Number of Workers,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, ,13061, ,1
 ,Connecticut,1/1/2011,Number of Farms,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production,4916, , ,1
 ,Connecticut,1/1/2011,Total Number of Operators,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, , ,7913,1
 ,Connecticut,1/1/2011,Total Number of Workers,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, ,13061, ,1
 ,Connecticut,1/1/2012,Number of Farms,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production,5977, , ,1
 ,Connecticut,1/1/2012,Total Number of Operators,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, , ,9880,1
 ,Connecticut,1/1/2012,Total Number of Workers,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, ,13713, ,1
 ,Connecticut,1/1/2013,Number of Farms,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production,5977, , ,1
 ,Connecticut,1/1/2013,Total Number of Operators,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, , ,9880,1
 ,Connecticut,1/1/2013,Total Number of Workers,9000, , , , , , , , , , , , , ,CT,9, , , , , ,Food Production, ,13713, ,1
 ,Maine,1/1/2009,Number of Farms,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production,8136, , ,1
 ,Maine,1/1/2009,Total Number of Operators,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, , ,13063,1
 ,Maine,1/1/2009,Total Number of Workers,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, ,15634, ,1
 ,Maine,1/1/2010,Number of Farms,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production,8136, , ,1
 ,Maine,1/1/2010,Total Number of Operators,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, , ,13063,1
 ,Maine,1/1/2010,Total Number of Workers,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, ,15634, ,1
 ,Maine,1/1/2011,Number of Farms,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production,8136, , ,1
 ,Maine,1/1/2011,Total Number of Operators,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, , ,13063,1
 ,Maine,1/1/2011,Total Number of Workers,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, ,15634, ,1
 ,Maine,1/1/2012,Number of Farms,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production,8173, , ,1
 ,Maine,1/1/2012,Total Number of Operators,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, , ,13406,1
 ,Maine,1/1/2012,Total Number of Workers,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, ,15072, ,1
 ,Maine,1/1/2013,Number of Farms,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production,8173, , ,1
 ,Maine,1/1/2013,Total Number of Operators,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, , ,13406,1
 ,Maine,1/1/2013,Total Number of Workers,23000, , , , , , , , , , , , , ,ME,23, , , , , ,Food Production, ,15072, ,1
 ,Massachusetts,1/1/2009,Number of Farms,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production,7691, , ,1
 ,Massachusetts,1/1/2009,Total Number of Operators,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, , ,12265,1
 ,Massachusetts,1/1/2009,Total Number of Workers,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, ,13039, ,1
 ,Massachusetts,1/1/2010,Number of Farms,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production,7691, , ,1
 ,Massachusetts,1/1/2010,Total Number of Operators,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, , ,12265,1
 ,Massachusetts,1/1/2010,Total Number of Workers,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, ,13039, ,1
 ,Massachusetts,1/1/2011,Number of Farms,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production,7691, , ,1
 ,Massachusetts,1/1/2011,Total Number of Operators,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, , ,12265,1
 ,Massachusetts,1/1/2011,Total Number of Workers,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, ,13039, ,1
 ,Massachusetts,1/1/2012,Number of Farms,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production,7755, , ,1
 ,Massachusetts,1/1/2012,Total Number of Operators,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, , ,12595,1
 ,Massachusetts,1/1/2012,Total Number of Workers,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, ,15649, ,1
 ,Massachusetts,1/1/2013,Number of Farms,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production,7755, , ,1
 ,Massachusetts,1/1/2013,Total Number of Operators,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, , ,12595,1
 ,Massachusetts,1/1/2013,Total Number of Workers,25000, , , , , , , , , , , , , ,MA,25, , , , , ,Food Production, ,15649, ,1
 ,New Hampshire,1/1/2009,Number of Farms,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production,4166, , ,1
 ,New Hampshire,1/1/2009,Total Number of Operators,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, , ,7022,1
 ,New Hampshire,1/1/2009,Total Number of Workers,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, ,5020, ,1
 ,New Hampshire,1/1/2010,Number of Farms,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production,4166, , ,1
 ,New Hampshire,1/1/2010,Total Number of Operators,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, , ,7022,1
 ,New Hampshire,1/1/2010,Total Number of Workers,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, ,5020, ,1
 ,New Hampshire,1/1/2011,Number of Farms,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production,4166, , ,1
 ,New Hampshire,1/1/2011,Total Number of Operators,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, , ,7022,1
 ,New Hampshire,1/1/2011,Total Number of Workers,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, ,5020, ,1
 ,New Hampshire,1/1/2012,Number of Farms,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production,4391, , ,1
 ,New Hampshire,1/1/2012,Total Number of Operators,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, , ,7300,1
 ,New Hampshire,1/1/2012,Total Number of Workers,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, ,6110, ,1
 ,New Hampshire,1/1/2013,Number of Farms,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production,4391, , ,1
 ,New Hampshire,1/1/2013,Total Number of Operators,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, , ,7300,1
 ,New Hampshire,1/1/2013,Total Number of Workers,33000, , , , , , , , , , , , , ,NH,33, , , , , ,Food Production, ,6110, ,1
 ,Rhode Island,1/1/2009,Number of Farms,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production,1219, , ,1
 ,Rhode Island,1/1/2009,Total Number of Operators,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, , ,1912,1
 ,Rhode Island,1/1/2009,Total Number of Workers,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, ,1641, ,1
 ,Rhode Island,1/1/2010,Number of Farms,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production,1219, , ,1
 ,Rhode Island,1/1/2010,Total Number of Operators,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, , ,1912,1
 ,Rhode Island,1/1/2010,Total Number of Workers,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, ,1641, ,1
 ,Rhode Island,1/1/2011,Number of Farms,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production,1219, , ,1
 ,Rhode Island,1/1/2011,Total Number of Operators,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, , ,1912,1
 ,Rhode Island,1/1/2011,Total Number of Workers,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, ,1641, ,1
 ,Rhode Island,1/1/2012,Number of Farms,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production,1243, , ,1
 ,Rhode Island,1/1/2012,Total Number of Operators,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, , ,2055,1
 ,Rhode Island,1/1/2012,Total Number of Workers,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, ,1869, ,1
 ,Rhode Island,1/1/2013,Number of Farms,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production,1243, , ,1
 ,Rhode Island,1/1/2013,Total Number of Operators,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, , ,2055,1
 ,Rhode Island,1/1/2013,Total Number of Workers,44000, , , , , , , , , , , , , ,RI,44, , , , , ,Food Production, ,1869, ,1
 ,Vermont,1/1/2009,Number of Farms,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production,6984, , ,1
 ,Vermont,1/1/2009,Total Number of Operators,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, , ,11392,1
 ,Vermont,1/1/2009,Total Number of Workers,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, ,8343, ,1
 ,Vermont,1/1/2010,Number of Farms,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production,6984, , ,1
 ,Vermont,1/1/2010,Total Number of Operators,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, , ,11392,1
 ,Vermont,1/1/2010,Total Number of Workers,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, ,8343, ,1
 ,Vermont,1/1/2011,Number of Farms,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production,6984, , ,1
 ,Vermont,1/1/2011,Total Number of Operators,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, , ,11392,1
 ,Vermont,1/1/2011,Total Number of Workers,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, ,8343, ,1
 ,Vermont,1/1/2012,Number of Farms,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production,7338, , ,1
 ,Vermont,1/1/2012,Total Number of Operators,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, , ,12257,1
 ,Vermont,1/1/2012,Total Number of Workers,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, ,9216, ,1
 ,Vermont,1/1/2013,Number of Farms,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production,7338, , ,1
 ,Vermont,1/1/2013,Total Number of Operators,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, , ,12257,1
 ,Vermont,1/1/2013,Total Number of Workers,50000, , , , , , , , , , , , , ,VT,50, , , , , ,Food Production, ,9216, ,1
311,Alabama,1/1/2009,Food Manufacturing,1000,5,55,0,2009,A, ,750,33440,971030235,305208608,3970880,566,29446,AL,1, , , , ,12729,Food Processing and Manufacturing, , , ,2
311,Alabama,1/1/2010,Food Manufacturing,1000,5,55,0,2010,A, ,834,32837,981680418,306860017,8297948,585,30396,AL,1, , , , ,14677,Food Processing and Manufacturing, , , ,2
311,Alabama,1/1/2011,Food Manufacturing,1000,5,55,0,2011,A, ,881,32222,950621280,298429895,9987189,578,30039,AL,1, , , , ,16324,Food Processing and Manufacturing, , , ,2
